"Dataset","Configuration","Replicate","InitialTemperature","CoolingRate","MaxIterations","TotalShifts","FilledShifts","FilledPercentage","ExecutionTimeMs","TotalPenaltyScore"
"medium","baseline","4","1000","0.95","1000","100","100","100","598","0"
"medium","baseline","5","1000","0.95","1000","100","100","100","232","0"
"medium","baseline","6","1000","0.95","1000","100","100","100","333","0"
"medium","baseline","7","1000","0.95","1000","100","100","100","265","0"
"medium","baseline","8","1000","0.95","1000","100","100","100","333","0"
"medium","baseline","9","1000","0.95","1000","100","100","100","188","0"
"medium","baseline","10","1000","0.95","1000","100","100","100","190","0"
"medium","baseline","11","1000","0.95","1000","100","100","100","135","0"
"medium","baseline","12","1000","0.95","1000","100","100","100","156","0"
"medium","baseline","13","1000","0.95","1000","100","100","100","227","0"
"medium","baseline","14","1000","0.95","1000","100","100","100","133","0"
"medium","baseline","15","1000","0.95","1000","100","100","100","94","0"
"medium","baseline","16","1000","0.95","1000","100","100","100","98","0"
"medium","baseline","17","1000","0.95","1000","100","100","100","90","0"
"medium","baseline","18","1000","0.95","1000","100","100","100","167","0"
"medium","baseline","19","1000","0.95","1000","100","100","100","424","0"
"medium","baseline","20","1000","0.95","1000","100","100","100","125","0"
"medium","baseline","21","1000","0.95","1000","100","100","100","102","0"
"medium","baseline","22","1000","0.95","1000","100","100","100","100","0"
"medium","baseline","23","1000","0.95","1000","100","100","100","84","0"
"medium","baseline","24","1000","0.95","1000","100","100","100","57","0"
"medium","baseline","25","1000","0.95","1000","100","100","100","57","0"
"medium","baseline","26","1000","0.95","1000","100","100","100","55","0"
"medium","baseline","27","1000","0.95","1000","100","100","100","116","0"
"medium","baseline","28","1000","0.95","1000","100","100","100","65","0"
"medium","baseline","29","1000","0.95","1000","100","100","100","50","0"
"medium","baseline","30","1000","0.95","1000","100","100","100","155","0"
"medium","low-temperature","1","100","0.95","1000","100","100","100","77","0"
"medium","low-temperature","2","100","0.95","1000","100","100","100","73","0"
"medium","low-temperature","3","100","0.95","1000","100","100","100","58","0"
"medium","low-temperature","4","100","0.95","1000","100","100","100","172","0"
"medium","low-temperature","5","100","0.95","1000","100","100","100","78","0"
"medium","low-temperature","6","100","0.95","1000","100","100","100","387","0"
"medium","low-temperature","7","100","0.95","1000","100","100","100","134","0"
"medium","low-temperature","8","100","0.95","1000","100","100","100","102","0"
"medium","low-temperature","9","100","0.95","1000","100","100","100","90","0"
"medium","low-temperature","10","100","0.95","1000","100","100","100","110","0"
"medium","low-temperature","11","100","0.95","1000","100","100","100","332","0"
"medium","low-temperature","12","100","0.95","1000","100","100","100","73","0"
"medium","low-temperature","13","100","0.95","1000","100","100","100","72","0"
"medium","low-temperature","14","100","0.95","1000","100","100","100","67","0"
